feature,coef,clean_feature
word_tfidf__1968,0.11450661128403498,word: 1968
word_tfidf__197,0.14515887758931453,word: 197
word_tfidf__1974,0.02173298799436437,word: 1974
word_tfidf__198,0.09353564320193902,word: 198
word_tfidf__199,0.13496797850697306,word: 199
word_tfidf__1st,0.11661107014890199,word: 1st
word_tfidf__20,-0.04849982928809288,word: 20
word_tfidf__20 10,-0.061791120723724474,word: 20 10
word_tfidf__20 int,0.014631973139887365,word: 20 int
word_tfidf__200,0.10331360192105077,word: 200
word_tfidf__2004,-0.07847868335213638,word: 2004
word_tfidf__2007,-0.012877051523074171,word: 2007
word_tfidf__2008,-0.05284278327237654,word: 2008
word_tfidf__201,0.12363116063352307,word: 201
word_tfidf__2010,0.1610803391254443,word: 2010
word_tfidf__2012,0.07359775092286873,word: 2012
word_tfidf__202,0.1095853375628814,word: 202
word_tfidf__203,0.15697480424521706,word: 203
word_tfidf__204,0.11144760645070399,word: 204
word_tfidf__205,0.1287847103507845,word: 205
word_tfidf__206,0.08480313701532373,word: 206
word_tfidf__207,0.10210965566336172,word: 207
word_tfidf__208,0.07076000932930879,word: 208
word_tfidf__209,0.10476671623674094,word: 209
word_tfidf__20s,-0.08654132532632368,word: 20s
word_tfidf__21,-0.01467682349388258,word: 21
word_tfidf__21 int,0.049806194642122666,word: 21 int
word_tfidf__210,0.06506925380572813,word: 210
word_tfidf__211,0.052191564069587665,word: 211
word_tfidf__212,0.06484727611171938,word: 212
word_tfidf__213,0.09121869101796883,word: 213
word_tfidf__214,0.08613252701717428,word: 214
word_tfidf__215,0.0823733490362547,word: 215
word_tfidf__216,0.08285977081264399,word: 216
word_tfidf__217,0.05292071807753786,word: 217
word_tfidf__218,0.10320905595944031,word: 218
word_tfidf__219,0.12381381486211641,word: 219
word_tfidf__21st,-0.008273906001405021,word: 21st
word_tfidf__22,-0.009096392285230829,word: 22
word_tfidf__22 int,0.06565821177030573,word: 22 int
word_tfidf__220,0.10026437307338858,word: 220
word_tfidf__221,0.16279032153165834,word: 221
word_tfidf__222,0.09198556992643711,word: 222
word_tfidf__223,0.12315868781820209,word: 223
word_tfidf__225,0.16982613058278256,word: 225
word_tfidf__226,0.15346745454396335,word: 226
word_tfidf__23,-0.10268140301751415,word: 23
word_tfidf__23 int,0.017265682955970422,word: 23 int
word_tfidf__237,0.14290216199874736,word: 237
word_tfidf__24,-0.019865356679101144,word: 24
word_tfidf__240,0.12378757059452963,word: 240
word_tfidf__25,-0.017519640753009942,word: 25
word_tfidf__250,0.08226662265613661,word: 250
word_tfidf__26,-0.03855427501281297,word: 26
word_tfidf__26 int,0.10171743319682086,word: 26 int
word_tfidf__27,-0.03889381396623872,word: 27
word_tfidf__27 int,0.07210414834811064,word: 27 int
word_tfidf__28,-0.05089721173504688,word: 28
word_tfidf__28 int,0.06342387060788829,word: 28 int
word_tfidf__29,-0.07358069532955545,word: 29
word_tfidf__29 int,0.036648122011793544,word: 29 int
word_tfidf__2nd,0.1647911191087832,word: 2nd
word_tfidf__30,0.010278969573907074,word: 30
word_tfidf__30 int,0.0953156979875424,word: 30 int
word_tfidf__300,0.046019626872998695,word: 300
word_tfidf__30s,-0.0998684432391647,word: 30s
word_tfidf__31,-0.030155588540809852,word: 31
word_tfidf__31 int,0.04331109709832042,word: 31 int
word_tfidf__32,-0.09949548163837094,word: 32
word_tfidf__32 int,0.019546386006182904,word: 32 int
word_tfidf__33,-0.07482498467132709,word: 33
word_tfidf__34,-0.06501208803054088,word: 34
word_tfidf__34 continued,-0.03418929377626556,word: 34 continued
word_tfidf__34 int,0.028382974004889476,word: 34 int
word_tfidf__35,-0.04263503160914593,word: 35
word_tfidf__357,-0.026520322573640794,word: 357
word_tfidf__36,-0.0696462542589097,word: 36
word_tfidf__36 int,0.019104625482477783,word: 36 int
word_tfidf__360,-0.08766324028424231,word: 360
word_tfidf__37,-0.06653216416552137,word: 37
word_tfidf__37 int,0.03300206972486225,word: 37 int
word_tfidf__38,-0.010636265956645005,word: 38
word_tfidf__39,-0.06256870624925301,word: 39
word_tfidf__39 int,0.10069648483944212,word: 39 int
word_tfidf__3rd,0.24899378358015672,word: 3rd
word_tfidf__40,-0.029390191662174457,word: 40
word_tfidf__40 int,0.011586220251869816,word: 40 int
word_tfidf__400,0.00639872094909881,word: 400
word_tfidf__40s,-0.1709103169677205,word: 40s
word_tfidf__41,-0.07991846742444454,word: 41
word_tfidf__41 int,0.04916071236105851,word: 41 int
word_tfidf__42,-0.08159844506081403,word: 42
word_tfidf__42 int,-9.199923462474673e-05,word: 42 int
word_tfidf__43,-0.0544217581193712,word: 43
word_tfidf__44,-0.06992712317101818,word: 44
word_tfidf__44 int,-0.004675565859758605,word: 44 int
word_tfidf__45,-0.023095896187796904,word: 45
word_tfidf__45 int,0.03204328629360985,word: 45 int
word_tfidf__46,-0.040960795235474835,word: 46
word_tfidf__47,-0.07206708364210308,word: 47
word_tfidf__48,-0.08146956430390666,word: 48
word_tfidf__48 int,0.02978912593051367,word: 48 int
word_tfidf__49,-0.058716083134661715,word: 49
word_tfidf__49 int,-0.028418460064539162,word: 49 int
word_tfidf__4th,0.10968209239841405,word: 4th
word_tfidf__50,-0.04139129179905651,word: 50
word_tfidf__500,0.13114513025842017,word: 500
word_tfidf__50s,-0.09679538330217712,word: 50s
word_tfidf__51,-0.03538126252837257,word: 51
word_tfidf__51 int,-0.030703047259951863,word: 51 int
word_tfidf__52,-0.047865997079928196,word: 52
